Date,Rt,Et,Ret,Qt
95/01/11 17,0.000,0.009,0.000,2.4438
95/01/11 18,0.004,0.000,0.004,2.4279
95/01/11 19,0.000,0.000,0.000,2.3789
95/01/11 20,0.000,0.000,0.000,2.3682
95/01/11 21,0.000,0.000,0.000,2.3851
95/01/11 22,0.000,0.000,0.000,2.4264
95/01/11 23,0.008,0.002,0.007,2.3935
95/01/12 00,0.008,0.002,0.006,2.3424
95/01/12 01,0.000,0.001,0.000,2.3134
95/01/12 02,0.000,0.003,0.000,2.2879
95/01/12 03,0.000,0.004,0.000,2.2688
95/01/12 04,0.000,0.013,0.000,2.2529
95/01/12 05,0.000,0.013,0.000,2.2339
95/01/12 06,0.000,0.011,0.000,2.2145
95/01/12 07,0.000,0.016,0.000,2.1954
95/01/12 08,0.004,0.009,0.000,2.1846
95/01/12 09,0.000,0.004,0.000,2.1691
95/01/12 10,0.024,0.037,0.000,2.1538
95/01/12 11,0.024,0.081,0.000,2.1462
95/01/12 12,0.008,0.113,0.000,2.1366
95/01/12 13,0.006,0.115,0.000,2.131
95/01/12 14,0.011,0.093,0.000,2.1247
95/01/12 15,0.000,0.061,0.000,2.112
95/01/12 16,0.000,0.003,0.000,2.0956
95/01/12 17,0.000,0.000,0.000,2.0778
95/01/12 18,0.000,0.000,0.000,2.0706
95/01/12 19,0.000,0.000,0.000,2.0562
95/01/12 20,0.000,0.000,0.000,2.0516
95/01/12 21,0.000,0.000,0.000,2.0448
95/01/12 22,0.000,0.000,0.000,2.036
95/01/12 23,0.000,0.000,0.000,2.0349
95/01/13 00,0.000,0.000,0.000,2.027
95/01/13 01,0.000,0.000,0.000,2.0214
95/01/13 02,0.000,0.000,0.000,2.018
95/01/13 03,0.000,0.000,0.000,2.018
95/01/13 04,0.000,0.001,0.000,2.018
95/01/13 05,0.000,0.000,0.000,2.0168
95/01/13 06,0.000,0.000,0.000,2.0024
95/01/13 07,0.008,0.001,0.007,1.9902
95/01/13 08,0.012,0.000,0.012,1.9811
95/01/13 09,0.001,0.004,0.000,1.98
95/01/13 10,0.004,0.018,0.000,1.9789
95/01/13 11,0.000,0.039,0.000,1.971
95/01/13 12,0.000,0.065,0.000,1.971
95/01/13 13,0.000,0.041,0.000,1.9789
95/01/13 14,0.000,0.031,0.000,1.98
95/01/13 15,0.000,0.029,0.000,1.9766
95/01/13 16,0.000,0.010,0.000,1.971
95/01/13 17,0.000,0.006,0.000,1.9673
95/01/13 18,0.000,0.002,0.000,1.961
95/01/13 19,0.067,0.001,0.066,1.961
95/01/13 20,0.051,0.001,0.050,1.961
95/01/13 21,0.044,0.000,0.044,1.961
95/01/13 22,0.008,0.000,0.008,1.9672
95/01/13 23,0.008,0.000,0.008,1.971
95/01/14 00,0.000,0.000,0.000,1.9623
95/01/14 01,0.000,0.000,0.000,1.9576
95/01/14 02,0.000,0.005,0.000,1.9441
95/01/14 03,0.000,0.008,0.000,1.943
95/01/14 04,0.004,0.006,0.000,1.943
95/01/14 05,0.001,0.008,0.000,1.943
95/01/14 06,0.000,0.008,0.000,1.9396
95/01/14 07,0.008,0.012,0.000,1.934
95/01/14 08,0.000,0.010,0.000,1.9374
95/01/14 09,0.000,0.012,0.000,1.943
95/01/14 10,0.000,0.029,0.000,1.943
95/01/14 11,0.000,0.056,0.000,1.9396
95/01/14 12,0.000,0.074,0.000,1.9277
95/01/14 13,0.000,0.068,0.000,1.924
95/01/14 14,0.000,0.062,0.000,1.9265
95/01/14 15,0.000,0.045,0.000,1.9265
95/01/14 16,0.016,0.025,0.000,1.931
95/01/14 17,0.000,0.010,0.000,1.95
95/01/14 18,0.000,0.009,0.000,1.924
95/01/14 19,0.000,0.010,0.000,1.9184
95/01/14 20,0.000,0.009,0.000,1.9161
95/01/14 21,0.000,0.005,0.000,1.916
95/01/14 22,0.000,0.006,0.000,1.8802
95/01/14 23,0.000,0.008,0.000,1.8859
95/01/15 00,0.015,0.011,0.004,1.8791
95/01/15 01,0.102,0.006,0.096,1.8746
95/01/15 02,0.114,0.003,0.111,1.869
95/01/15 03,0.227,0.002,0.225,1.8602
95/01/15 04,0.099,0.001,0.098,1.8534
95/01/15 05,0.001,0.001,0.000,1.8489
95/01/15 06,0.008,0.000,0.008,1.841
95/01/15 07,0.000,0.004,0.000,1.841
95/01/15 08,0.023,0.001,0.022,1.841
95/01/15 09,0.000,0.007,0.000,1.841
95/01/15 10,0.000,0.014,0.000,1.841
95/01/15 11,0.000,0.025,0.000,1.841
95/01/15 12,0.000,0.035,0.000,1.841
95/01/15 13,0.000,0.037,0.000,1.8331
95/01/15 14,0.004,0.047,0.000,1.8376
95/01/15 15,0.000,0.041,0.000,1.841
95/01/15 16,0.000,0.023,0.000,1.841
95/01/15 17,0.000,0.018,0.000,1.841
95/01/15 18,0.000,0.015,0.000,1.8399
95/01/15 19,0.000,0.016,0.000,1.832
95/01/15 20,0.029,0.011,0.018,1.832
95/01/15 21,0.000,0.015,0.000,1.832
95/01/15 22,0.141,0.007,0.134,1.8241
95/01/15 23,0.019,0.008,0.011,1.823
95/01/16 00,0.030,0.008,0.022,1.823
95/01/16 01,0.001,0.012,0.000,1.8192
95/01/16 02,0.008,0.016,0.000,1.813
95/01/16 03,0.000,0.017,0.000,1.813
95/01/16 04,0.032,0.011,0.021,1.8155
95/01/16 05,0.028,0.012,0.016,1.8218
95/01/16 06,0.008,0.015,0.000,1.8142
95/01/16 07,0.004,0.016,0.000,1.813
95/01/16 08,0.012,0.015,0.000,1.8096
95/01/16 09,0.012,0.020,0.000,1.8006
95/01/16 10,0.016,0.027,0.000,1.795
95/01/16 11,0.008,0.029,0.000,1.7894
95/01/16 12,0.008,0.040,0.000,1.786
95/01/16 13,0.000,0.038,0.000,1.7939
95/01/16 14,0.012,0.021,0.000,1.7984
95/01/16 15,0.000,0.027,0.000,1.7984
95/01/16 16,0.008,0.021,0.000,1.7972
95/01/16 17,0.000,0.025,0.000,1.795
95/01/16 18,0.000,0.032,0.000,1.795
95/01/16 19,0.000,0.034,0.000,1.7928
95/01/16 20,0.000,0.038,0.000,1.7894
95/01/16 21,0.204,0.029,0.175,1.7871
95/01/16 22,4.490,0.008,4.482,1.8089
95/01/16 23,1.811,0.001,1.810,1.8512
95/01/17 00,0.531,0.000,0.531,1.8964
95/01/17 01,0.009,0.000,0.009,1.9639
95/01/17 02,0.017,0.000,0.017,2.1501
95/01/17 03,0.016,0.000,0.016,2.4779
95/01/17 04,0.007,0.000,0.007,3.0991
95/01/17 05,0.004,0.000,0.004,3.3144
95/01/17 06,0.001,0.000,0.001,3.5019
95/01/17 07,0.334,0.000,0.334,4.1054
95/01/17 08,1.251,0.001,1.251,4.199
95/01/17 09,0.833,0.009,0.824,4.0419
95/01/17 10,0.053,0.024,0.029,3.8747
95/01/17 11,0.167,0.035,0.132,3.7488
95/01/17 12,0.204,0.048,0.156,3.7285
95/01/17 13,0.108,0.055,0.053,3.7877
95/01/17 14,1.612,0.042,1.570,3.9185
95/01/17 15,1.974,0.031,1.943,4.2066
95/01/17 16,2.191,0.026,2.165,4.9062
95/01/17 17,3.023,0.017,3.006,5.6934
95/01/17 18,2.050,0.011,2.039,6.7629
95/01/17 19,0.620,0.011,0.609,8.4559
95/01/17 20,0.055,0.011,0.044,11.0001
95/01/17 21,0.259,0.012,0.247,14.8534
95/01/17 22,0.000,0.012,0.000,19.2451
95/01/17 23,0.008,0.021,0.000,23.5525
95/01/18 00,0.000,0.019,0.000,26.9138
95/01/18 01,0.008,0.013,0.000,28.0821
95/01/18 02,0.000,0.025,0.000,26.5048
95/01/18 03,0.008,0.000,0.008,22.4664
95/01/18 04,0.000,0.000,0.000,18.2139
95/01/18 05,0.000,0.000,0.000,14.9431
95/01/18 06,0.000,0.000,0.000,12.6184
95/01/18 07,0.000,0.002,0.000,10.9651
95/01/18 08,0.000,0.000,0.000,9.7348
95/01/18 09,0.000,0.000,0.000,8.8476
95/01/18 10,0.000,0.045,0.000,8.1579
95/01/18 11,0.000,0.099,0.000,7.6158
95/01/18 12,0.000,0.091,0.000,7.1649
95/01/18 13,0.000,0.055,0.000,6.7991
95/01/18 14,0.000,0.064,0.000,6.4745
95/01/18 15,0.000,0.055,0.000,6.19
95/01/18 16,0.000,0.000,0.000,5.9265
95/01/18 17,0.000,0.000,0.000,5.7098
95/01/18 18,0.000,0.000,0.000,5.5618
95/01/18 19,0.000,0.000,0.000,5.3775
95/01/18 20,0.000,0.003,0.000,5.1849
95/01/18 21,0.140,0.000,0.140,4.9794
95/01/18 22,0.518,0.000,0.518,4.8284
95/01/18 23,0.005,0.000,0.005,4.7046
95/01/19 00,0.004,0.000,0.004,4.5882
95/01/19 01,0.000,0.000,0.000,4.4921
95/01/19 02,0.000,0.000,0.000,4.4165
95/01/19 03,0.008,0.000,0.008,4.3381
95/01/19 04,0.008,0.000,0.008,4.2698
95/01/19 05,0.000,0.000,0.000,4.1974
95/01/19 06,0.000,0.000,0.000,4.1381
95/01/19 07,0.040,0.005,0.035,4.0762
95/01/19 08,0.082,0.010,0.072,4.0158
95/01/19 09,0.000,0.009,0.000,3.9566
95/01/19 10,0.351,0.024,0.328,3.9018
95/01/19 11,3.464,0.026,3.438,3.871
95/01/19 12,3.226,0.028,3.199,3.9155
95/01/19 13,1.560,0.030,1.530,4.0598
95/01/19 14,0.062,0.051,0.011,4.4725
95/01/19 15,0.009,0.070,0.000,5.6364
95/01/19 16,0.000,0.051,0.000,7.4396
95/01/19 17,0.000,0.029,0.000,10.0792
95/01/19 18,0.000,0.005,0.000,14.5938
95/01/19 19,0.000,0.000,0.000,18.209
95/01/19 20,0.000,0.000,0.000,19.0418
95/01/19 21,0.000,0.001,0.000,17.0864
95/01/19 22,4.961,0.005,4.956,13.8092
95/01/19 23,1.650,0.000,1.650,11.4868
95/01/20 00,0.010,0.013,0.000,10.6129
95/01/20 01,0.000,0.011,0.000,11.0835
95/01/20 02,0.163,0.000,0.163,12.5979
95/01/20 03,0.339,0.000,0.339,14.5391
95/01/20 04,1.144,0.004,1.140,16.8328
95/01/20 05,0.488,0.004,0.484,18.8237
95/01/20 06,0.131,0.002,0.129,19.2021
95/01/20 07,0.009,0.000,0.009,17.8951
95/01/20 08,0.020,0.017,0.003,15.7781
95/01/20 09,0.008,0.029,0.000,14.092
95/01/20 10,0.002,0.031,0.000,13.4844
95/01/20 11,0.012,0.073,0.000,13.6509
95/01/20 12,0.000,0.075,0.000,13.3372
95/01/20 13,0.000,0.095,0.000,12.2846
95/01/20 14,0.179,0.072,0.108,11.0869
95/01/20 15,0.000,0.052,0.000,10.1182
95/01/20 16,0.000,0.032,0.000,9.4344
95/01/20 17,0.000,0.026,0.000,8.8115
95/01/20 18,0.000,0.010,0.000,8.2078
95/01/20 19,0.000,0.000,0.000,7.7759
95/01/20 20,0.000,0.000,0.000,7.4301
95/01/20 21,0.000,0.000,0.000,7.138
95/01/20 22,0.000,0.000,0.000,6.8565
95/01/20 23,0.008,0.000,0.008,6.6062
95/01/21 00,0.000,0.000,0.000,6.3796
95/01/21 01,0.000,0.000,0.000,6.1702
95/01/21 02,0.008,0.000,0.008,5.9835
95/01/21 03,0.000,0.002,0.000,5.8186
95/01/21 04,0.008,0.008,0.001,5.6669
95/01/21 05,0.343,0.007,0.337,5.5218
95/01/21 06,0.100,0.002,0.098,5.3951
95/01/21 07,1.379,0.003,1.376,5.2856
95/01/21 08,0.028,0.000,0.028,5.1995
95/01/21 09,0.000,0.011,0.000,5.121
95/01/21 10,1.037,0.020,1.017,5.0862
95/01/21 11,3.821,0.018,3.803,5.1645
95/01/21 12,3.985,0.020,3.965,5.3574
95/01/21 13,1.104,0.052,1.052,5.89
95/01/21 14,0.005,0.155,0.000,7.1944
95/01/21 15,0.000,0.109,0.000,9.6884
95/01/21 16,0.000,0.049,0.000,13.8654
95/01/21 17,0.000,0.040,0.000,19.4684
95/01/21 18,0.577,0.023,0.554,25.332
95/01/21 19,0.032,0.023,0.009,29.9488
95/01/21 20,0.163,0.030,0.133,31.5796
95/01/21 21,0.867,0.015,0.852,28.6911
95/01/21 22,0.740,0.004,0.736,21.9679
95/01/21 23,1.356,0.001,1.355,16.4122
95/01/22 00,0.894,0.007,0.888,13.5704
95/01/22 01,0.584,0.009,0.576,12.3581
95/01/22 02,0.034,0.002,0.032,12.0272
95/01/22 03,0.095,0.010,0.085,12.4131
95/01/22 04,0.024,0.016,0.008,13.3792
95/01/22 05,0.024,0.015,0.009,14.6161
95/01/22 06,0.049,0.009,0.040,15.6803
95/01/22 07,0.016,0.018,0.000,16.1615
95/01/22 08,0.015,0.015,0.000,15.7046
95/01/22 09,0.000,0.009,0.000,14.4275
95/01/22 10,0.000,0.011,0.000,12.9342
95/01/22 11,0.321,0.012,0.309,11.6691
95/01/22 12,1.521,0.013,1.508,10.7177
95/01/22 13,1.571,0.013,1.558,10.0182
95/01/22 14,2.232,0.011,2.221,9.5579
95/01/22 15,1.082,0.015,1.067,9.4772
95/01/22 16,0.370,0.010,0.360,9.7805
95/01/22 17,0.042,0.001,0.041,10.6826
95/01/22 18,0.001,0.000,0.001,12.342
95/01/22 19,1.008,0.005,1.004,14.8365
95/01/22 20,0.240,0.004,0.236,17.8613
95/01/22 21,0.004,0.003,0.001,20.0189
95/01/22 22,0.992,0.013,0.979,20.44
95/01/22 23,0.151,0.000,0.151,19.2194
95/01/23 00,0.702,0.002,0.700,17.2431
95/01/23 01,0.259,0.009,0.250,15.6151
95/01/23 02,0.012,0.000,0.012,14.7795
95/01/23 03,0.000,0.011,0.000,14.2976
95/01/23 04,0.642,0.009,0.634,13.9634
95/01/23 05,0.062,0.013,0.049,13.8581
95/01/23 06,0.686,0.015,0.671,13.7796
95/01/23 07,0.001,0.006,0.000,13.5084
95/01/23 08,0.000,0.000,0.000,13.0151
95/01/23 09,0.005,0.010,0.000,12.4446
95/01/23 10,0.120,0.024,0.096,11.9908
95/01/23 11,0.012,0.039,0.000,11.642
95/01/23 12,0.001,0.062,0.000,11.3074
95/01/23 13,0.187,0.082,0.105,10.9771
95/01/23 14,0.084,0.084,0.000,10.5379
95/01/23 15,0.008,0.091,0.000,10.0283
95/01/23 16,0.004,0.047,0.000,9.5797
95/01/23 17,0.056,0.030,0.026,9.1539
95/01/23 18,0.062,0.038,0.024,8.7962
95/01/23 19,0.086,0.037,0.049,8.4669
95/01/23 20,0.000,0.027,0.000,8.1962
95/01/23 21,0.000,0.030,0.000,7.92
95/01/23 22,0.004,0.033,0.000,7.6788
95/01/23 23,0.000,0.038,0.000,7.4318
95/01/24 00,0.072,0.038,0.034,7.227
95/01/24 01,0.001,0.031,0.000,7.0271
95/01/24 02,0.004,0.034,0.000,6.8408
95/01/24 03,0.000,0.029,0.000,6.66
95/01/24 04,0.000,0.018,0.000,6.4881
95/01/24 05,0.000,0.011,0.000,6.3204
95/01/24 06,0.000,0.014,0.000,6.1671
95/01/24 07,0.000,0.002,0.000,6.036
95/01/24 08,0.000,0.000,0.000,5.898
95/01/24 09,0.000,0.000,0.000,5.7754
95/01/24 10,0.000,0.018,0.000,5.6489
95/01/24 11,0.000,0.055,0.000,5.5382
95/01/24 12,0.000,0.049,0.000,5.4438
95/01/24 13,0.000,0.058,0.000,5.341
95/01/24 14,0.000,0.062,0.000,5.2668
95/01/24 15,0.000,0.039,0.000,5.1892
95/01/24 16,0.032,0.014,0.018,5.1195
95/01/24 17,0.096,0.000,0.096,5.0645
95/01/24 18,0.215,0.000,0.215,4.9691
95/01/24 19,0.535,0.001,0.534,4.9375
95/01/24 20,0.901,0.001,0.900,4.857
95/01/24 21,1.102,0.002,1.100,4.8228
95/01/24 22,1.771,0.003,1.769,4.8104
95/01/24 23,1.569,0.002,1.567,4.8542
95/01/25 00,0.844,0.002,0.842,5.0241
95/01/25 01,0.411,0.006,0.405,5.4205
95/01/25 02,0.611,0.006,0.605,5.9827
95/01/25 03,0.426,0.004,0.422,6.7955
95/01/25 04,0.601,0.004,0.597,8.0034
95/01/25 05,0.879,0.002,0.877,10.0144
95/01/25 06,0.099,0.001,0.098,11.7144
95/01/25 07,0.090,0.001,0.089,12.179
95/01/25 08,0.209,0.001,0.208,11.9976
95/01/25 09,0.054,0.004,0.051,11.8502
95/01/25 10,0.332,0.008,0.324,11.9344
95/01/25 11,0.769,0.013,0.756,12.2762
95/01/25 12,0.411,0.027,0.385,12.1951
95/01/25 13,0.022,0.027,0.000,11.5761
95/01/25 14,0.032,0.029,0.003,10.8294
95/01/25 15,0.009,0.034,0.000,10.3091
95/01/25 16,0.004,0.022,0.000,10.0785
95/01/25 17,0.000,0.022,0.000,10.1598
95/01/25 18,0.194,0.015,0.179,10.2481
95/01/25 19,0.141,0.021,0.120,10.1175
95/01/25 20,0.467,0.019,0.448,9.7538
95/01/25 21,0.030,0.025,0.005,9.293
95/01/25 22,0.020,0.034,0.000,8.8472
95/01/25 23,0.047,0.025,0.022,8.5205
95/01/26 00,0.071,0.024,0.047,8.2962
95/01/26 01,0.198,0.026,0.172,8.1476
95/01/26 02,0.027,0.024,0.003,8.0446
95/01/26 03,0.008,0.024,0.000,7.9518
95/01/26 04,2.658,0.013,2.645,7.8125
95/01/26 05,0.602,0.001,0.601,7.6741
95/01/26 06,0.756,0.005,0.751,7.6298
95/01/26 07,0.008,0.008,0.000,7.827
95/01/26 08,0.000,0.017,0.000,8.2756
95/01/26 09,0.004,0.019,0.000,9.0898
95/01/26 10,0.001,0.022,0.000,10.9509
95/01/26 11,0.000,0.034,0.000,12.8664
95/01/26 12,0.000,0.062,0.000,13.6004
95/01/26 13,0.008,0.077,0.000,12.8731
95/01/26 14,0.264,0.052,0.212,11.4002
95/01/26 15,0.069,0.061,0.009,9.9854
95/01/26 16,0.081,0.019,0.062,9.0715
95/01/26 17,0.009,0.006,0.003,8.4134
95/01/26 18,0.000,0.000,0.000,7.9262
95/01/26 19,0.000,0.000,0.000,7.5346
95/01/26 20,0.000,0.000,0.000,7.2791
95/01/26 21,0.000,0.000,0.000,7.0504
95/01/26 22,0.000,0.000,0.000,6.805
95/01/26 23,0.001,0.000,0.001,6.611
95/01/27 00,0.000,0.000,0.000,6.4286
95/01/27 01,0.004,0.000,0.004,6.2445
95/01/27 02,0.000,0.000,0.000,6.0796
95/01/27 03,0.000,0.000,0.000,5.931
95/01/27 04,0.000,0.000,0.000,5.7931
95/01/27 05,0.000,0.000,0.000,5.6579
95/01/27 06,0.008,0.000,0.008,5.5232
95/01/27 07,0.000,0.002,0.000,5.426
95/01/27 08,0.001,0.003,0.000,5.3335
95/01/27 09,0.162,0.019,0.143,5.2476
95/01/27 10,1.246,0.013,1.234,5.1776
95/01/27 11,2.069,0.011,2.058,5.1355
95/01/27 12,1.139,0.016,1.123,5.1214
95/01/27 13,1.799,0.017,1.782,5.185
95/01/27 14,0.794,0.016,0.779,5.4261
95/01/27 15,1.646,0.013,1.633,6.0146
95/01/27 16,1.453,0.008,1.445,7.1555
95/01/27 17,0.559,0.008,0.552,9.5666
95/01/27 18,0.337,0.005,0.332,13.2201
95/01/27 19,0.319,0.002,0.317,16.6286
95/01/27 20,0.189,0.001,0.188,19.3324
95/01/27 21,0.012,0.004,0.008,21.5879
95/01/27 22,0.001,0.008,0.000,23.4361
95/01/27 23,0.000,0.013,0.000,23.7621
95/01/28 00,0.133,0.010,0.123,22.081
95/01/28 01,1.444,0.007,1.438,19.6113
95/01/28 02,1.459,0.005,1.454,17.1101
95/01/28 03,2.219,0.008,2.211,15.2542
95/01/28 04,0.559,0.005,0.554,14.2739
95/01/28 05,1.492,0.008,1.484,14.1441
95/01/28 06,0.101,0.010,0.092,14.8869
95/01/28 07,0.367,0.011,0.357,16.6866
95/01/28 08,0.710,0.009,0.701,19.4024
95/01/28 09,0.016,0.009,0.007,22.235
95/01/28 10,0.046,0.031,0.015,24.1938
95/01/28 11,0.176,0.074,0.102,24.5215
95/01/28 12,0.000,0.090,0.000,23.7498
95/01/28 13,0.000,0.096,0.000,22.5321
95/01/28 14,0.012,0.101,0.000,21.0615
95/01/28 15,0.000,0.062,0.000,19.2511
95/01/28 16,1.045,0.027,1.018,16.9525
95/01/28 17,0.113,0.016,0.097,14.7262
95/01/28 18,0.027,0.012,0.015,13.1598
95/01/28 19,0.101,0.020,0.081,12.2079
95/01/28 20,0.385,0.021,0.364,11.5599
95/01/28 21,0.322,0.020,0.303,11.1116
95/01/28 22,0.040,0.035,0.006,10.8012
95/01/28 23,0.008,0.037,0.000,10.5715
95/01/29 00,0.000,0.041,0.000,10.2787
95/01/29 01,0.000,0.034,0.000,9.979
95/01/29 02,0.001,0.021,0.000,9.7319
95/01/29 03,0.227,0.015,0.212,9.5761
95/01/29 04,0.696,0.004,0.693,9.3711
95/01/29 05,0.089,0.006,0.083,9.0644
95/01/29 06,1.392,0.009,1.383,8.7341
95/01/29 07,3.072,0.006,3.066,8.4831
95/01/29 08,1.930,0.006,1.924,8.3726
95/01/29 09,0.382,0.011,0.371,8.6268
95/01/29 10,0.018,0.027,0.000,9.6808
95/01/29 11,0.041,0.039,0.003,11.7738
95/01/29 12,0.024,0.038,0.000,15.1088
95/01/29 13,0.044,0.033,0.012,19.388
95/01/29 14,0.161,0.034,0.127,22.9808
95/01/29 15,0.020,0.046,0.000,24.1521
95/01/29 16,0.087,0.026,0.062,22.6389
95/01/29 17,1.495,0.007,1.488,20.0575
95/01/29 18,1.395,0.001,1.394,17.0579
95/01/29 19,0.266,0.000,0.266,14.5769
95/01/29 20,0.279,0.000,0.279,13.3284
95/01/29 21,0.081,0.000,0.081,12.8717
95/01/29 22,0.201,0.000,0.201,13.0725
95/01/29 23,0.020,0.010,0.010,14.1419
95/01/30 00,0.113,0.014,0.099,15.6528
95/01/30 01,0.224,0.009,0.215,16.0546
95/01/30 02,0.166,0.008,0.158,15.2462
95/01/30 03,0.432,0.008,0.424,13.9974
95/01/30 04,0.188,0.005,0.183,12.86
95/01/30 05,0.026,0.004,0.022,11.9664
95/01/30 06,0.000,0.000,0.000,11.2679
95/01/30 07,0.000,0.000,0.000,10.7446
95/01/30 08,0.016,0.000,0.016,10.372
95/01/30 09,0.000,0.007,0.000,10.1291
95/01/30 10,0.008,0.052,0.000,9.9199
95/01/30 11,0.000,0.086,0.000,9.6179
95/01/30 12,0.000,0.114,0.000,9.1738
95/01/30 13,0.000,0.091,0.000,8.7422
95/01/30 14,0.000,0.073,0.000,8.475
95/01/30 15,0.001,0.072,0.000,8.2349
95/01/30 16,0.008,0.032,0.000,8.0093
95/01/30 17,0.000,0.000,0.000,7.7058
95/01/30 18,0.000,0.000,0.000,7.5441
95/01/30 19,0.000,0.000,0.000,7.3656
95/01/30 20,0.000,0.000,0.000,7.1721
95/01/30 21,0.000,0.009,0.000,6.968
95/01/30 22,0.004,0.014,0.000,6.8129
95/01/30 23,0.000,0.011,0.000,6.6831
95/01/31 00,0.000,0.020,0.000,6.5496
95/01/31 01,0.001,0.020,0.000,6.43
95/01/31 02,0.494,0.015,0.479,6.3129
95/01/31 03,0.945,0.009,0.937,6.2126
95/01/31 04,0.461,0.010,0.451,6.1369
95/01/31 05,0.047,0.008,0.039,6.072
95/01/31 06,0.025,0.009,0.016,6.042
95/01/31 07,0.125,0.009,0.116,6.0585
95/01/31 08,0.009,0.008,0.001,6.1294
95/01/31 09,0.000,0.013,0.000,6.2171
95/01/31 10,0.000,0.019,0.000,6.3736
95/01/31 11,0.028,0.019,0.010,6.5634
95/01/31 12,0.024,0.023,0.001,6.6064
95/01/31 13,0.013,0.028,0.000,6.5432
95/01/31 14,0.000,0.033,0.000,6.4621
95/01/31 15,0.004,0.036,0.000,6.3645
95/01/31 16,0.000,0.030,0.000,6.2701
95/01/31 17,0.000,0.019,0.000,6.1734
95/01/31 18,0.000,0.013,0.000,6.063
95/01/31 19,0.004,0.009,0.000,5.979
95/01/31 20,0.008,0.011,0.000,5.9385
95/01/31 21,0.000,0.020,0.000,5.8545
95/01/31 22,0.000,0.021,0.000,5.7366
95/01/31 23,0.000,0.023,0.000,5.6711
95/02/01 00,0.085,0.020,0.065,5.5941
95/02/01 01,0.014,0.019,0.000,5.5294
95/02/01 02,0.005,0.017,0.000,5.4584
95/02/01 03,0.012,0.021,0.000,5.3951
95/02/01 04,1.702,0.021,1.681,5.3322
95/02/01 05,6.181,0.001,6.180,5.3544
95/02/01 06,2.268,0.000,2.268,5.6241
95/02/01 07,2.253,0.000,2.253,6.4425
95/02/01 08,1.502,0.000,1.502,8.459
95/02/01 09,0.781,0.001,0.780,11.5958
95/02/01 10,0.219,0.010,0.209,16.3009
95/02/01 11,0.183,0.023,0.160,21.9215
95/02/01 12,0.219,0.025,0.194,27.3612
95/02/01 13,0.204,0.033,0.171,30.8774
95/02/01 14,0.001,0.046,0.000,32.3275
95/02/01 15,0.000,0.024,0.000,31.6376
95/02/01 16,0.000,0.012,0.000,28.7372
95/02/01 17,0.000,0.000,0.000,24.2554
95/02/01 18,0.037,0.000,0.037,19.9259
95/02/01 19,0.070,0.002,0.068,16.945
95/02/01 20,0.004,0.001,0.003,14.9841
95/02/01 21,0.000,0.000,0.000,13.5039
95/02/01 22,0.000,0.000,0.000,12.3182
95/02/01 23,0.032,0.000,0.032,11.3864
95/02/02 00,0.004,0.000,0.004,10.6252
95/02/02 01,0.032,0.000,0.032,10.001
95/02/02 02,0.046,0.000,0.046,9.496
95/02/02 03,0.007,0.000,0.007,9.045
95/02/02 04,0.021,0.000,0.021,8.6998
95/02/02 05,0.017,0.000,0.017,8.3678
95/02/02 06,0.006,0.000,0.006,8.0578
95/02/02 07,0.013,0.000,0.013,7.7999
95/02/02 08,0.048,0.000,0.048,7.5676
95/02/02 09,0.034,0.008,0.026,7.353
95/02/02 10,0.029,0.025,0.004,7.1535
95/02/02 11,0.006,0.057,0.000,6.985
95/02/02 12,0.000,0.113,0.000,6.816
95/02/02 13,0.000,0.110,0.000,6.5909
95/02/02 14,0.000,0.088,0.000,6.4729
95/02/02 15,0.000,0.064,0.000,6.3859
95/02/02 16,0.000,0.022,0.000,6.2945
95/02/02 17,0.000,0.006,0.000,6.1915
95/02/02 18,0.001,0.001,0.000,6.1201
95/02/02 19,0.000,0.000,0.000,6.0465
95/02/02 20,0.000,0.002,0.000,5.913
95/02/02 21,0.000,0.007,0.000,5.805
95/02/02 22,0.000,0.009,0.000,5.7069
95/02/02 23,0.000,0.006,0.000,5.6194
95/02/03 00,0.001,0.008,0.000,5.538
95/02/03 01,0.000,0.014,0.000,5.4659
95/02/03 02,0.000,0.013,0.000,5.3921
95/02/03 03,0.000,0.014,0.000,5.3278
95/02/03 04,0.000,0.019,0.000,5.2738
95/02/03 05,0.000,0.023,0.000,5.2025
95/02/03 06,0.000,0.021,0.000,5.1442
95/02/03 07,0.083,0.019,0.064,5.092
95/02/03 08,0.000,0.019,0.000,5.0312
95/02/03 09,0.000,0.018,0.000,4.9808
95/02/03 10,0.000,0.018,0.000,4.9275
95/02/03 11,0.047,0.014,0.033,4.8772
95/02/03 12,0.028,0.025,0.003,4.8314
95/02/03 13,0.000,0.032,0.000,4.7857
95/02/03 14,0.004,0.040,0.000,4.7402
95/02/03 15,0.000,0.050,0.000,4.6946
95/02/03 16,0.004,0.040,0.000,4.6505
95/02/03 17,0.000,0.006,0.000,4.615
95/02/03 18,0.000,0.000,0.000,4.5769
95/02/03 19,0.000,0.000,0.000,4.5387
95/02/03 20,0.000,0.000,0.000,4.5145
95/02/03 21,0.000,0.000,0.000,4.4838
95/02/03 22,0.000,0.000,0.000,4.3996
95/02/03 23,0.000,0.000,0.000,4.3816
95/02/04 00,0.000,0.000,0.000,4.3519
95/02/04 01,0.000,0.000,0.000,4.3215
95/02/04 02,0.039,0.000,0.039,4.2821
95/02/04 03,0.070,0.000,0.070,4.2519
